iter	Passed	Remaining
0	12	12361	1	25	12712	2	36	12183	3	49	12232
4	63	12582
5	77	12812
6	91	13037
7	101	12642
8	110	12180
9	118	11772
10	127	11429
11	135	11159
12	144	10934
13	152	10765
14	161	10609
15	169	10444
16	178	10345
17	188	10300
18	196	10156
19	204	10032
20	212	9907
21	218	9715
22	225	9571
23	232	9455
24	240	9370
25	247	9263
26	254	9168
27	260	9038
28	265	8905
29	272	8797
30	277	8686
31	283	8565
32	288	8454
33	293	8344
34	298	8237
35	303	8132
36	309	8049
37	314	7958
38	319	7875
39	324	7795
40	330	7726
41	335	7652
42	340	7586
43	345	7513
44	351	7456
45	356	7398
46	361	7337
47	367	7286
48	372	7231
49	377	7177
50	383	7132
51	388	7082
52	393	7035
53	398	6989
54	404	6942
55	409	6906
56	414	6862
57	419	6817
58	425	6782
59	430	6744
60	435	6708
61	441	6673
62	446	6645
63	452	6611
64	456	6567
65	461	6528
66	466	6491
67	470	6452
68	475	6417
69	480	6382
70	485	6347
71	490	6317
72	494	6283
73	499	6249
74	504	6217
75	509	6189
76	514	6162
77	519	6136
78	524	6118
79	531	6112
80	538	6104
81	543	6081
82	548	6062
83	553	6040
84	559	6018
85	563	5992
86	568	5967
87	573	5944
88	578	5921
89	583	5896
90	588	5874
91	592	5849
92	597	5830
93	602	5810
94	607	5786
95	611	5762
96	617	5745
97	624	5748
98	630	5741
99	637	5738
100	644	5737
101	651	5735
102	657	5727
103	663	5712
104	668	5694
105	672	5673
106	677	5654
107	682	5634
108	686	5614
109	691	5594
110	696	5574
111	700	5555
112	705	5537
113	710	5519
114	714	5500
115	719	5481
116	723	5463
117	728	5444
118	733	5431
119	738	5413
120	742	5394
121	747	5378
122	752	5361
123	756	5347
124	762	5334
125	766	5318
126	771	5302
127	776	5286
128	780	5270
129	784	5250
130	789	5237
131	794	5224
132	799	5210
133	803	5194
134	808	5179
135	813	5166
136	817	5151
137	822	5136
138	826	5122
139	831	5108
140	836	5095
141	840	5080
142	845	5068
143	850	5055
144	854	5040
145	859	5028
146	864	5017
147	869	5005
148	874	4992
149	878	4979
150	883	4967
151	888	4958
152	893	4945
153	898	4935
154	903	4925
155	908	4917
156	913	4905
157	918	4893
158	922	4881
159	927	4869
160	932	4857
161	936	4846
162	941	4834
163	946	4824
164	951	4812
165	955	4801
166	960	4790
167	964	4778
168	969	4767
169	974	4756
170	979	4746
171	983	4735
172	988	4724
173	993	4714
174	998	4705
175	1002	4693
176	1007	4682
177	1011	4672
178	1016	4662
179	1021	4654
180	1026	4643
181	1030	4632
182	1035	4622
183	1040	4614
184	1045	4604
185	1050	4595
186	1055	4587
187	1060	4579
188	1064	4569
189	1069	4561
190	1074	4552
191	1079	4544
192	1084	4535
193	1089	4526
194	1094	4517
195	1099	4509
196	1104	4500
197	1109	4493
198	1114	4485
199	1119	4478
200	1124	4469
201	1128	4460
202	1134	4452
203	1139	4445
204	1144	4437
205	1149	4429
206	1154	4421
207	1158	4412
208	1163	4404
209	1168	4395
210	1173	4388
211	1178	4380
212	1183	4373
213	1188	4364
214	1193	4356
215	1197	4348
216	1202	4339
217	1207	4331
218	1212	4322
219	1216	4314
220	1221	4306
221	1226	4297
222	1231	4289
223	1236	4281
224	1240	4273
225	1245	4265
226	1250	4257
227	1255	4250
228	1259	4242
229	1264	4234
230	1269	4226
231	1274	4218
232	1279	4210
233	1283	4202
234	1288	4194
235	1293	4186
236	1298	4178
237	1302	4171
238	1307	4163
239	1313	4157
240	1318	4151
241	1323	4145
242	1328	4139
243	1333	4131
244	1338	4123
245	1343	4117
246	1349	4112
247	1353	4104
248	1358	4097
249	1363	4091
250	1368	4084
251	1373	4076
252	1378	4069
253	1383	4062
254	1388	4055
255	1392	4048
256	1397	4040
257	1402	4033
258	1407	4025
259	1411	4018
260	1416	4010
261	1421	4003
262	1426	3996
263	1430	3988
264	1435	3981
265	1439	3973
266	1444	3966
267	1449	3958
268	1453	3951
269	1458	3943
270	1463	3936
271	1468	3929
272	1472	3921
273	1477	3914
274	1482	3907
275	1486	3899
276	1491	3892
277	1496	3885
278	1500	3878
279	1505	3871
280	1510	3865
281	1515	3858
282	1520	3851
283	1524	3843
284	1529	3836
285	1533	3829
286	1538	3822
287	1543	3815
288	1547	3808
289	1552	3802
290	1557	3795
291	1562	3788
292	1567	3781
293	1572	3775
294	1576	3768
295	1581	3761
296	1586	3754
297	1591	3748
298	1595	3741
299	1600	3734
300	1605	3727
301	1609	3720
302	1614	3713
303	1619	3707
304	1623	3700
305	1628	3693
306	1633	3687
307	1638	3680
308	1642	3673
309	1647	3666
310	1652	3659
311	1657	3654
312	1661	3646
313	1666	3640
314	1671	3634
315	1676	3627
316	1680	3620
317	1685	3614
318	1690	3607
319	1694	3601
320	1699	3594
321	1704	3588
322	1708	3581
323	1713	3575
324	1718	3568
325	1723	3562
326	1727	3555
327	1732	3549
328	1737	3543
329	1742	3537
330	1747	3531
331	1751	3524
332	1756	3517
333	1760	3511
334	1765	3505
335	1770	3498
336	1775	3492
337	1779	3485
338	1784	3479
339	1789	3472
340	1793	3466
341	1798	3460
342	1803	3453
343	1807	3447
344	1812	3440
345	1816	3434
346	1821	3428
347	1826	3421
348	1830	3415
349	1835	3408
350	1840	3403
351	1845	3397
352	1850	3391
353	1855	3385
354	1859	3379
355	1864	3373
356	1869	3367
357	1874	3361
358	1878	3354
359	1883	3348
360	1888	3342
361	1893	3336
362	1897	3330
363	1902	3324
364	1907	3317
365	1911	3311
366	1916	3305
367	1921	3299
368	1925	3293
369	1930	3286
370	1934	3280
371	1939	3274
372	1944	3268
373	1948	3262
374	1953	3255
375	1958	3249
376	1962	3243
377	1967	3237
378	1972	3231
379	1976	3225
380	1981	3219
381	1986	3213
382	1990	3206
383	1995	3200
384	1999	3194
385	2004	3188
386	2009	3182
387	2014	3176
388	2018	3170
389	2023	3164
390	2027	3158
391	2032	3152
392	2037	3146
393	2041	3140
394	2046	3134
395	2051	3128
396	2056	3122
397	2060	3116
398	2065	3110
399	2070	3105
400	2074	3099
401	2079	3093
402	2084	3087
403	2088	3081
404	2093	3075
405	2097	3069
406	2102	3063
407	2107	3057
408	2111	3051
409	2116	3045
410	2121	3039
411	2126	3034
412	2131	3028
413	2136	3023
414	2140	3017
415	2145	3011
416	2150	3006
417	2154	3000
418	2159	2994
419	2164	2988
420	2168	2982
421	2173	2976
422	2177	2970
423	2182	2964
424	2187	2959
425	2191	2953
426	2196	2947
427	2201	2941
428	2205	2936
429	2210	2930
430	2215	2924
431	2219	2918
432	2224	2912
433	2229	2907
434	2233	2901
435	2238	2896
436	2243	2890
437	2248	2885
438	2254	2880
439	2258	2874
440	2263	2869
441	2270	2865
442	2274	2860
443	2279	2854
444	2284	2849
445	2289	2843
446	2293	2837
447	2298	2831
448	2303	2826
449	2307	2820
450	2312	2814
451	2316	2808
452	2321	2803
453	2326	2797
454	2330	2791
455	2335	2786
456	2340	2780
457	2345	2775
458	2349	2769
459	2354	2764
460	2359	2758
461	2364	2753
462	2368	2747
463	2373	2741
464	2378	2736
465	2382	2730
466	2387	2724
467	2391	2719
468	2396	2713
469	2401	2707
470	2406	2702
471	2411	2697
472	2416	2692
473	2421	2687
474	2426	2682
475	2431	2676
476	2436	2671
477	2441	2666
478	2445	2660
479	2450	2654
480	2455	2649
481	2459	2643
482	2464	2637
483	2468	2632
484	2473	2626
485	2478	2621
486	2483	2615
487	2487	2610
488	2492	2604
489	2497	2599
490	2501	2593
491	2506	2588
492	2511	2582
493	2515	2576
494	2520	2571
495	2525	2565
496	2530	2560
497	2534	2555
498	2539	2549
499	2543	2543
500	2548	2538
501	2553	2532
502	2557	2527
503	2562	2521
504	2566	2516
505	2571	2510
506	2576	2505
507	2581	2499
508	2585	2494
509	2590	2488
510	2594	2483
511	2600	2478
512	2604	2472
513	2609	2467
514	2613	2461
515	2618	2456
516	2623	2450
517	2627	2445
518	2632	2439
519	2637	2434
520	2642	2429
521	2646	2423
522	2651	2418
523	2656	2413
524	2661	2408
525	2665	2402
526	2670	2396
527	2675	2391
528	2679	2385
529	2684	2380
530	2689	2375
531	2694	2369
532	2698	2364
533	2703	2359
534	2708	2353
535	2712	2348
536	2717	2343
537	2722	2337
538	2726	2332
539	2731	2327
540	2736	2321
541	2740	2316
542	2745	2310
543	2750	2305
544	2754	2300
545	2759	2294
546	2764	2289
547	2768	2283
548	2773	2278
549	2778	2273
550	2783	2268
551	2788	2262
552	2793	2258
553	2798	2252
554	2802	2247
555	2807	2241
556	2812	2236
557	2816	2231
558	2821	2225
559	2826	2220
560	2831	2215
561	2835	2210
562	2840	2204
563	2845	2199
564	2849	2194
565	2854	2188
566	2859	2183
567	2864	2178
568	2868	2172
569	2873	2167
570	2877	2162
571	2882	2157
572	2887	2151
573	2892	2146
574	2896	2141
575	2901	2135
576	2905	2130
577	2910	2124
578	2915	2120
579	2920	2114
580	2925	2109
581	2929	2104
582	2934	2098
583	2938	2093
584	2943	2088
585	2948	2082
586	2952	2077
587	2957	2072
588	2962	2066
589	2966	2061
590	2971	2056
591	2976	2051
592	2980	2045
593	2985	2040
